date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20
2017-12-22	13.5	13.63	13.52	13.45	742900.94	-0.02	-0.15	13.27	13.172	13.258	1307551.39	1393431.41	1491215.9
2017-12-21	13.18	13.68	13.54	13.16	1485203.5	0.28	2.11	13.11	13.129	13.31	1378961.7	1454272.81	1585580.33
2017-12-20	13.2	13.31	13.26	13.13	1106245.0	-0.02	-0.15	13.002	13.058	13.35	1282320.6	1423948.25	1632777.26
2017-12-19	12.79	13.32	13.28	12.74	2397943.0	0.53	4.16	12.976	13.04	13.442	1318921.22	1475308.25	1705976.58
2017-12-18	12.73	12.91	12.75	12.64	805464.5	0.03	0.24	12.924	13.042	13.501	1188013.77	1407882.08	1710845.82
2017-12-15	12.9	12.93	12.72	12.67	1099952.5	-0.28	-2.15	13.074	13.097	13.576	1479311.42	1472737.98	1812768.88
2017-12-14	13.15	13.31	13.0	12.91	1001998.0	-0.13	-0.99	13.148	13.125	13.599	1529583.92	1541236.04	1860978.74
2017-12-13	13.0	13.2	13.13	12.88	1289248.12	0.11	0.84	13.114	13.163	13.604	1565575.9	1578999.8	1870919.58
2017-12-12	13.4	13.48	13.02	13.02	1743405.75	-0.48	-3.56	13.104	13.232	13.592	1631695.28	1606484.48	1869609.79
2017-12-11	13.08	13.57	13.5	12.88	2261952.75	0.41	3.13	13.16	13.3	13.589	1627750.38	1608787.15	1871454.62
2017-12-08	12.89	13.09	13.09	12.75	1351315.0	0.26	2.03	13.12	13.343	13.559	1466164.53	1589000.4	1886702.29
2017-12-07	13.05	13.14	12.83	12.75	1181957.88	-0.25	-1.91	13.102	13.49	13.519	1552888.15	1716887.85	1907014.16
2017-12-06	13.26	13.27	13.08	12.79	1619845.0	-0.22	-1.65	13.212	13.642	13.494	1592423.7	1841606.26	1962680.73
2017-12-05	13.15	13.49	13.3	13.1	1723681.25	0.0	0.0	13.36	13.844	13.447	1581273.67	1936644.91	2094829.76
2017-12-04	13.05	13.37	13.3	13.0	1454023.5	0.3	2.31	13.44	13.959	13.378	1589823.92	2013809.56	2132503.86
2017-12-01	13.4	13.48	13.0	12.96	1784933.12	-0.38	-2.84	13.566	14.054	13.277	1711836.27	2152799.79	2111297.82
2017-11-30	13.7	13.73	13.38	13.26	1379635.62	-0.44	-3.18	13.878	14.072	13.196	1880887.55	2180721.45	2059218.33
2017-11-29	13.73	13.93	13.82	13.47	1564094.88	0.12	0.88	14.072	14.044	13.104	2090788.83	2162839.36	2020451.97
2017-11-28	13.85	13.85	13.7	13.4	1766432.5	-0.23	-1.65	14.328	13.952	12.983	2292016.15	2132735.1	1976878.12
2017-11-27	14.3	14.3	13.93	13.75	2064085.25	-0.63	-4.33	14.478	13.877	12.875	2437795.2	2134122.09	1919931.07
2017-11-24	14.29	14.59	14.56	13.78	2630189.5	0.21	1.46	14.542	13.774	12.757	2593763.3	2184404.19	1880639.15
2017-11-23	15.15	15.24	14.35	14.07	2429142.0	-0.75	-4.97	14.266	13.548	12.607	2480555.35	2097140.48	1817134.0
2017-11-22	14.48	15.24	15.1	14.48	2570231.5	0.65	4.5	14.016	13.346	12.448	2234889.9	2083755.2	1742126.7
2017-11-21	14.07	14.79	14.45	14.01	2495327.75	0.2	1.4	13.576	13.049	12.257	1973454.05	2253014.6	1634543.81
2017-11-20	13.13	14.25	14.25	13.05	2843925.75	1.07	8.12	13.276	12.796	12.104	1830448.98	2251198.15	1540721.02
2017-11-17	13.17	13.46	13.18	13.03	2064149.75	0.08	0.61	13.006	12.499	11.951	1775045.08	2069795.86	1452247.98
2017-11-16	12.9	13.12	13.1	12.67	1200814.75	0.2	1.55	12.83	12.32	11.866	1713725.6	1937715.2	1372130.89
2017-11-15	12.9	13.13	12.9	12.77	1263052.25	-0.05	-0.39	12.676	12.164	11.792	1932620.5	1878064.58	1348228.4
2017-11-14	12.95	13.26	12.95	12.81	1780302.38	0.05	0.39	12.522	12.014	11.732	2532575.15	1821021.15	1328644.05
2017-11-13	12.35	13.1	12.9	12.35	2566906.25	0.6	4.88	12.316	11.873	11.66	2671947.33	1705740.05	1264947.55
2017-11-10	12.37	12.55	12.3	12.15	1757552.38	-0.03	-0.24	11.992	11.739	11.594	2364546.64	1576874.12	1188414.77
2017-11-09	12.2	12.57	12.33	12.15	2295289.25	0.2	1.65	11.81	11.665	11.547	2161704.8	1537127.52	1137405.95
2017-11-08	12.0	12.59	12.13	11.93	4262825.5	0.21	1.76	11.652	11.55	11.508	1823508.65	1400498.2	1051544.75
2017-11-07	11.27	12.09	11.92	11.25	2477163.25	0.64	5.67	11.506	11.464	11.478	1109467.14	1016073.01	871307.36
2017-11-06	11.42	11.42	11.28	11.09	1029902.81	-0.11	-0.97	11.43	11.411	11.456	739532.76	830243.88	784845.46
2017-11-03	11.49	11.68	11.39	11.35	743343.19	-0.15	-1.3	11.486	11.402	11.457	789201.6	834700.1	799611.68
2017-11-02	11.36	11.58	11.54	11.26	604308.5	0.14	1.23	11.52	11.411	11.443	912550.24	806546.59	796558.52
2017-11-01	11.56	11.59	11.4	11.32	692617.94	-0.14	-1.21	11.448	11.42	11.41	977487.75	818392.22	792204.1
2017-10-31	11.55	11.58	11.54	11.39	627491.38	-0.02	-0.17	11.422	11.449	11.386	922678.88	836266.96	793932.61
2017-10-30	11.55	11.73	11.56	11.45	1278247.0	0.0	0.0	11.392	11.446	11.362	920954.99	824155.06	810931.09
