date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20
2017-12-22	29.6	30.2	29.85	29.57	342206.41	0.13	0.44	29.158	29.445	30.246	405553.59	411079.32	500307.92
2017-12-21	28.72	30.19	29.72	28.63	595163.81	1.12	3.92	29.01	29.442	30.343	416358.15	435677.4	509414.75
2017-12-20	29.09	29.1	28.6	28.52	329026.69	-0.56	-1.92	29.088	29.465	30.422	373738.94	435161.74	508672.83
2017-12-19	28.66	29.25	29.16	28.4	340084.09	0.7	2.46	29.356	29.682	30.617	374924.39	441238.51	544869.98
2017-12-18	29.11	29.26	28.46	28.04	421286.97	-0.65	-2.23	29.438	29.869	30.749	400435.35	463660.3	581955.21
2017-12-15	30.12	30.12	29.11	29.1	396229.19	-1.0	-3.32	29.732	30.108	30.771	416605.05	459520.61	580645.29
2017-12-14	29.94	30.37	30.11	29.85	382067.75	0.17	0.57	29.874	30.27	30.76	454996.65	475641.54	589031.03
2017-12-13	29.57	30.1	29.94	29.35	334953.94	0.37	1.25	29.842	30.381	30.702	496584.53	537501.32	598649.24
2017-12-12	29.73	30.36	29.57	29.51	467638.91	-0.36	-1.2	30.008	30.769	30.627	507552.63	593777.18	608955.43
2017-12-11	29.82	29.95	29.93	29.3	502135.44	0.11	0.37	30.3	30.887	30.573	526885.25	587591.94	622364.76
2017-12-08	29.38	29.88	29.82	29.05	588187.19	-0.13	-0.43	30.484	31.046	30.43	502436.16	589536.52	614615.32
2017-12-07	30.57	31.9	29.95	29.9	590007.19	-0.82	-2.67	30.666	31.244	30.314	496286.44	583152.11	600501.59
2017-12-06	30.73	31.2	30.77	30.26	389794.44	-0.26	-0.84	30.92	31.379	30.2	578418.1	582183.93	582707.58
2017-12-05	30.6	31.48	31.03	30.2	564302.0	0.18	0.58	31.53	31.552	30.044	680001.72	648501.46	583150.93
2017-12-04	30.6	31.3	30.85	29.9	379890.0	0.12	0.39	31.474	31.628	29.885	648298.62	700250.12	573926.73
