date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20
2017-12-22	21.98	22.6	22.42	21.8	15329.0	0.38	1.72	22.442	22.845	23.743	16471.41	17670.35	20800.03
2017-12-21	22.0	22.2	22.04	21.02	15652.58	0.0	0.0	22.708	22.894	23.995	17417.19	17518.28	22009.79
2017-12-20	22.93	23.01	22.04	21.5	26948.94	-0.87	-3.8	23.032	22.964	24.3	18455.63	17378.95	23484.86
2017-12-19	22.8	23.18	22.91	22.44	11365.67	0.11	0.48	23.218	23.033	24.7	15763.97	17161.97	25343.35
2017-12-18	23.94	23.94	22.8	22.51	13060.86	-0.95	-4.0	23.286	23.038	25.066	18763.49	19077.37	28004.26
2017-12-15	23.38	24.52	23.75	23.32	20057.91	0.09	0.38	23.248	23.295	25.3	18869.29	19371.97	29523.87
2017-12-14	22.97	23.97	23.66	22.8	20844.78	0.69	3.0	23.08	23.54	25.507	17619.37	19577.24	31538.15
2017-12-13	22.75	23.16	22.97	22.5	13490.62	-0.28	-1.2	22.896	23.73	25.714	16302.27	19821.4	34333.97
2017-12-12	22.62	24.5	23.25	22.62	26363.27	0.64	2.83	22.848	23.985	25.897	18559.97	21562.81	37020.11
2017-12-11	22.91	23.09	22.61	22.61	13589.85	-0.3	-1.31	22.79	24.297	25.944	19391.26	22060.25	36623.01
2017-12-08	22.4	23.26	22.91	22.4	13808.31	0.17	0.75	23.342	24.641	26.051	19874.65	23929.7	37657.13
2017-12-07	22.33	22.77	22.74	22.09	14259.3	0.01	0.04	24.0	25.095	26.202	21535.11	26501.31	39743.54
2017-12-06	22.59	22.99	22.73	21.42	24779.13	-0.23	-1.0	24.564	25.636	26.244	23340.53	29590.77	39183.97
2017-12-05	25.23	25.54	22.96	22.83	30519.69	-2.41	-9.5	25.122	26.367	26.282	24565.64	33524.74	38159.79
2017-12-04	26.25	26.25	25.37	25.21	16006.82	-0.83	-3.17	25.804	27.094	26.301	24729.23	36931.15	36802.52
2017-12-01	25.41	26.4	26.2	25.18	22110.59	0.64	2.5	25.94	27.305	26.193	27984.76	39675.77	36128.29
2017-11-30	25.5	25.82	25.56	25.16	23286.43	0.04	0.16	26.19	27.473	26.041	31467.51	43499.07	35262.31
2017-11-29	26.47	26.59	25.52	25.06	30904.67	-0.85	-3.22	26.708	27.698	25.943	35841.02	48846.54	34483.19
2017-11-28	25.91	26.87	26.37	25.78	31337.66	0.32	1.23	27.612	27.808	25.851	42483.84	52477.42	33216.65
2017-11-27	27.6	27.84	26.05	25.74	32284.44	-1.4	-5.1	28.384	27.591	25.716	49133.07	51185.77	32105.87
2017-11-24	28.18	28.96	27.45	27.0	39524.34	-0.7	-2.49	28.67	27.461	25.607	51366.77	51384.55	30986.18
2017-11-23	30.68	30.69	28.15	27.44	45153.97	-1.89	-6.29	28.756	27.309	25.447	55530.63	52985.77	29364.49
2017-11-22	29.19	31.44	30.04	29.19	64118.78	-0.19	-0.63	28.688	26.851	25.283	61852.06	48777.17	27228.9
2017-11-21	27.19	30.23	30.23	26.52	64583.82	2.75	10.01	28.004	26.197	25.033	62471.0	42794.84	24228.37
2017-11-20	28.23	28.75	27.48	27.0	43452.96	-0.4	-1.44	26.798	25.508	24.772	53238.47	36673.88	21204.29
2017-11-17	27.66	29.38	27.88	26.1	60343.63	0.07	0.25	26.252	25.081	24.653	51402.32	32580.81	19294.7
2017-11-16	26.5	29.28	27.81	26.0	76761.12	1.19	4.47	25.862	24.609	24.514	50440.9	27025.54	16450.76
2017-11-15	24.27	26.62	26.62	24.27	67213.48	2.42	10.0	25.014	24.188	24.372	35702.28	20119.83	12885.75
2017-11-14	24.54	25.24	24.2	24.2	18421.15	-0.55	-2.22	24.39	23.894	24.3	23118.67	13955.88	9824.04
2017-11-13	25.79	25.99	24.75	24.58	34272.22	-1.18	-4.55	24.218	23.84	24.352	20109.29	13025.98	9152.68
2017-11-10	23.57	25.93	25.93	23.53	55536.54	2.36	10.01	23.91	23.752	24.397	13759.29	10587.82	8099.68
2017-11-09	23.5	23.63	23.57	23.36	3067.99	0.07	0.3	23.356	23.584	24.361	3610.18	5743.22	5725.69
2017-11-08	23.38	23.79	23.5	23.25	4295.46	0.16	0.69	23.362	23.714	24.449	4537.39	5680.63	6020.27
2017-11-07	23.34	23.36	23.34	23.15	3374.26	0.13	0.56	23.398	23.869	24.539	4793.1	5661.89	6803.83
2017-11-06	23.36	23.36	23.21	23.0	2522.21	0.05	0.22	23.462	24.035	24.642	5942.66	5734.69	7698.75
2017-11-03	23.6	23.66	23.16	23.03	4791.0	-0.44	-1.86	23.594	24.225	24.704	7416.34	6008.59	7913.34
2017-11-02	23.55	23.76	23.6	23.03	7704.0	-0.08	-0.34	23.812	24.418	24.749	7876.26	5875.97	8057.81
2017-11-01	23.59	23.86	23.68	23.35	5574.01	0.02	0.09	24.066	24.556	24.742	6823.87	5651.67	8108.31
2017-10-31	23.7	23.82	23.66	23.12	9122.1	-0.21	-0.88	24.34	24.706	24.765	6530.69	5692.2	8166.34
2017-10-30	24.1	24.1	23.87	23.2	9890.58	-0.38	-1.57	24.608	24.863	24.795	5526.72	5279.38	8657.01
2017-10-27	24.97	24.99	24.25	24.17	7090.59	-0.62	-2.49	24.856	25.041	24.809	4600.84	5611.55	8417.69
2017-10-26	25.05	25.05	24.87	24.8	2442.09	-0.18	-0.72	25.024	25.138	24.81	3875.69	5708.15	8481.36
2017-10-25	24.71	25.08	25.05	24.66	4108.09	0.05	0.2	25.046	25.184	24.783	4479.47	6359.9	8648.75
2017-10-24	25.11	25.15	25.0	24.9	4102.24	-0.11	-0.44	25.072	25.209	24.755	4853.71	7945.77	8816.16
2017-10-23	25.09	25.11	25.11	24.82	5261.18	0.02	0.08	25.118	25.249	24.729	5032.03	9662.81	8985.65
2017-10-20	24.77	25.25	25.09	24.77	3464.84	0.11	0.44	25.226	25.182	24.711	6622.26	9818.09	9089.75
2017-10-19	25.18	25.2	24.98	24.71	5461.0	-0.2	-0.79	25.252	25.08	24.695	7540.62	10239.65	9531.36
2017-10-18	25.06	25.36	25.18	25.05	5979.29	-0.05	-0.2	25.322	24.927	24.698	8240.33	10564.95	9958.21
2017-10-17	25.23	25.5	25.23	24.98	4993.85	-0.42	-1.64	25.346	24.823	24.681	11037.83	10640.47	10198.13
2017-10-16	25.21	25.68	25.65	24.61	13212.34	0.43	1.71	25.38	24.727	24.655	14293.58	12034.64	11317.82
2017-10-13	25.3	25.37	25.22	24.88	8056.61	-0.11	-0.43	25.138	24.577	24.646	13013.92	11223.82	12257.17
2017-10-12	25.03	25.33	25.33	24.87	8959.57	0.03	0.12	24.908	24.482	24.614	12938.69	11254.56	13403.83
2017-10-11	25.4	26.08	25.3	25.01	19966.77	-0.1	-0.39	24.532	24.381	24.571	12889.58	10937.6	15093.45
2017-10-10	24.42	25.58	25.4	24.29	21272.63	0.96	3.93	24.3	24.3	24.486	10243.11	9686.56	15439.64
2017-10-09	24.1	24.48	24.44	23.81	6814.02	0.37	1.54	24.074	24.208	24.372	9775.7	8308.49	15082.66
2017-09-29	23.44	24.15	24.07	23.42	7680.46	0.62	2.64	24.016	24.24	24.297	9433.72	8361.41	15627.64
2017-09-28	24.1	24.2	23.45	23.41	8714.0	-0.69	-2.86	24.056	24.309	24.248	9570.43	8823.07	15762.7
2017-09-27	24.02	24.24	24.14	23.89	6734.46	-0.13	-0.54	24.23	24.469	24.233	8985.63	9351.47	16176.96
2017-09-26	23.99	24.5	24.27	23.44	18935.57	0.12	0.5	24.3	24.539	24.161	9130.0	9755.79	16493.69
2017-09-25	23.99	24.4	24.15	23.99	5104.1	-0.12	-0.49	24.342	24.583	24.094	6841.29	10600.99	16260.91
2017-09-22	24.35	24.54	24.27	24.11	8364.01	-0.05	-0.21	24.464	24.714	24.037	7289.1	13290.53	16568.2
2017-09-21	24.49	24.59	24.32	24.28	5790.0	-0.17	-0.69	24.562	24.745	23.957	8075.71	15553.11	16651.94
2017-09-20	24.36	24.68	24.49	24.33	7456.32	0.01	0.04	24.708	24.76	23.861	9717.31	19249.29	16887.18
2017-09-19	24.89	25.26	24.48	24.31	7492.0	-0.28	-1.13	24.778	24.671	23.77	10381.58	21192.72	17041.09
2017-09-18	24.2	24.97	24.76	24.2	7343.16	0.0	0.0	24.824	24.535	23.692	14360.7	21856.82	17166.04
2017-09-15	25.17	25.17	24.76	24.69	12297.08	-0.29	-1.16	24.964	24.354	23.62	19291.96	22893.87	17338.73
2017-09-14	24.66	25.7	25.05	24.54	13998.0	0.21	0.84	24.928	24.186	23.537	23030.51	22702.34	17503.75
2017-09-13	24.61	25.1	24.84	24.37	10777.64	0.13	0.53	24.812	23.996	23.458	28781.27	23002.45	18253.25
2017-09-12	25.31	25.31	24.71	24.68	27387.6	-0.75	-2.95	24.564	23.782	23.349	32003.87	23231.6	18555.82
2017-09-11	24.57	25.5	25.46	24.42	31999.48	0.88	3.58	24.246	23.604	23.225	29352.94	21920.83	17660.93
2017-09-08	24.45	24.64	24.58	24.14	30989.82	0.11	0.45	23.744	23.36	23.061	26495.77	19845.86	16626.09
2017-09-07	23.7	24.74	24.47	23.45	42751.83	0.87	3.69	23.444	23.168	22.932	22374.17	17750.77	15974.46
2017-09-06	22.99	23.65	23.6	22.82	26890.63	0.48	2.08	23.18	22.961	22.799	17223.63	14525.07	14287.15
2017-09-05	22.99	23.23	23.12	22.85	14132.96	0.17	0.74	23.0	22.868	22.727	14459.32	12889.45	13476.51
2017-09-04	23.08	23.13	22.95	22.83	17713.61	-0.13	-0.56	22.962	22.849	22.667	14488.71	12475.25	13175.28
2017-09-01	23.16	23.26	23.08	22.96	10381.81	-0.07	-0.3	22.976	22.885	22.619	13195.95	11783.59	12624.42
2017-08-31	22.75	23.16	23.15	22.66	16999.15	0.45	1.98	22.892	22.887	22.559	13127.38	12305.17	12460.84
2017-08-30	22.88	22.96	22.7	22.6	13069.08	-0.23	-1.0	22.742	22.92	22.513	11826.51	13504.05	12035.53
2017-08-29	23.03	23.25	22.93	22.83	14279.92	-0.09	-0.39	22.736	22.916	22.47	11319.58	13880.04	11778.27
2017-08-28	22.64	23.08	23.02	22.64	11249.81	0.36	1.59	22.736	22.845	22.442	10461.79	13401.04	11390.97
2017-08-25	22.45	22.77	22.66	22.35	10038.92	0.26	1.16	22.794	22.761	22.406	10371.23	13406.32	11191.07
2017-08-24	22.67	22.82	22.4	22.38	10494.8	-0.27	-1.19	22.882	22.696	22.38	11482.96	14198.14	11404.7
2017-08-23	22.93	23.15	22.67	22.56	10534.45	-0.26	-1.13	23.098	22.636	22.387	15181.59	14049.24	12254.14
2017-08-22	23.29	23.44	22.93	22.9	9990.99	-0.38	-1.63	23.096	22.586	22.324	16440.5	14063.58	12102.19
2017-08-21	23.08	23.55	23.31	22.9	10796.97	0.21	0.91	22.954	22.484	22.248	16340.28	13875.3	11997.41
2017-08-18	23.16	23.3	23.1	22.87	15597.58	-0.38	-1.62	22.728	22.353	22.151	16441.41	13465.24	11916.03
2017-08-17	22.68	24.48	23.48	22.67	28987.95	0.82	3.62	22.51	22.231	22.071	16913.33	12616.51	11791.9
2017-08-16	22.22	22.76	22.66	22.2	16829.01	0.44	1.98	22.174	22.105	21.972	12916.88	10567.0	11434.7
