date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20
2017-12-22	7.14	7.31	7.23	7.12	173562.92	0.13	1.83	7.192	7.276	7.364	123746.58	125547.97	138532.12
2017-12-21	7.14	7.15	7.1	7.03	125584.11	-0.04	-0.56	7.204	7.285	7.384	115794.98	127043.93	135857.74
2017-12-20	7.22	7.25	7.14	7.13	114990.79	-0.1	-1.38	7.236	7.305	7.403	121036.06	135803.32	136752.66
2017-12-19	7.23	7.28	7.24	7.21	97901.2	-0.01	-0.14	7.29	7.32	7.428	116198.95	139036.84	139223.79
2017-12-18	7.3	7.3	7.25	7.2	106693.87	-0.04	-0.55	7.32	7.317	7.445	120213.72	147484.6	140758.06
2017-12-15	7.26	7.32	7.29	7.25	133804.95	0.03	0.41	7.36	7.334	7.462	127349.37	154329.61	142989.29
2017-12-14	7.41	7.41	7.26	7.25	151789.5	-0.15	-2.02	7.366	7.363	7.472	138292.88	150098.51	147859.75
2017-12-13	7.4	7.42	7.41	7.34	90805.23	0.02	0.27	7.374	7.397	7.496	150570.57	146602.09	146520.92
2017-12-12	7.45	7.52	7.39	7.39	117975.03	-0.06	-0.81	7.35	7.428	7.514	161874.74	155467.81	150071.98
2017-12-11	7.36	7.46	7.45	7.36	142372.12	0.13	1.78	7.314	7.45	7.534	174755.48	154934.26	156995.03
2017-12-08	7.32	7.42	7.32	7.26	188522.52	0.02	0.27	7.308	7.452	7.562	181309.85	151516.27	157007.97
2017-12-07	7.35	7.53	7.3	7.29	213177.95	0.01	0.14	7.36	7.482	7.599	161904.14	144671.55	154756.49
2017-12-06	7.22	7.3	7.29	7.18	147326.06	0.08	1.11	7.42	7.501	7.634	142633.61	137702.0	151562.58
2017-12-05	7.41	7.45	7.21	7.18	182378.77	-0.21	-2.83	7.506	7.535	7.672	149060.88	139410.73	156241.29
2017-12-04	7.61	7.61	7.42	7.4	175143.95	-0.16	-2.11	7.586	7.572	7.705	135113.03	134031.51	153769.21
2017-12-01	7.61	7.63	7.58	7.53	91493.95	-0.02	-0.26	7.596	7.59	7.726	121722.69	131648.97	150946.55
