date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20
2017-12-22	4.19	4.19	4.13	4.12	15108.04	-0.03	-0.72	4.152	4.175	4.156	30882.57	37489.26	39348.07
2017-12-21	4.1	4.19	4.16	4.09	40698.05	0.06	1.46	4.162	4.173	4.16	33143.99	39963.51	40292.36
2017-12-20	4.17	4.18	4.1	4.09	25422.6	-0.07	-1.68	4.176	4.161	4.163	33905.04	41370.63	41769.4
2017-12-19	4.2	4.24	4.17	4.16	43643.0	-0.03	-0.71	4.194	4.151	4.177	33988.04	44047.03	42864.05
2017-12-18	4.17	4.24	4.2	4.13	29541.15	0.02	0.48	4.204	4.131	4.192	39387.77	47883.63	41923.57
2017-12-15	4.2	4.22	4.18	4.16	26415.14	-0.05	-1.18	4.198	4.128	4.207	44095.95	48361.25	42522.07
2017-12-14	4.2	4.27	4.23	4.16	44503.32	0.04	0.95	4.184	4.132	4.228	46783.03	48085.08	44473.27
2017-12-13	4.23	4.23	4.19	4.17	25837.58	-0.03	-0.71	4.146	4.129	4.248	48836.22	46210.35	44498.0
2017-12-12	4.18	4.25	4.22	4.12	70641.65	0.05	1.2	4.108	4.134	4.271	54106.02	47170.89	45259.73
2017-12-11	4.1	4.17	4.17	4.09	53082.04	0.06	1.46	4.058	4.135	4.293	56379.49	43500.98	44649.47
2017-12-08	4.04	4.13	4.11	4.02	39850.56	0.07	1.73	4.058	4.136	4.316	52626.55	41206.88	44241.27
2017-12-07	4.0	4.07	4.04	3.97	54769.25	0.04	1.0	4.08	4.146	4.342	49387.13	40621.21	44623.14
2017-12-06	3.98	4.04	4.0	3.94	52186.59	0.03	0.76	4.112	4.164	4.373	43584.48	42168.17	44127.83
2017-12-05	4.17	4.19	3.97	3.96	82009.0	-0.2	-4.8	4.16	4.203	4.403	40235.77	41681.07	43544.47
2017-12-04	4.24	4.24	4.17	4.17	34317.34	-0.05	-1.19	4.212	4.253	4.436	30622.47	35963.52	42187.83
2017-12-01	4.2	4.24	4.22	4.2	23653.48	0.02	0.48	4.214	4.286	4.456	29787.2	36682.89	41980.06
2017-11-30	4.24	4.25	4.2	4.2	25756.0	-0.04	-0.94	4.212	4.323	4.472	31855.28	40861.45	43587.04
2017-11-29	4.23	4.28	4.24	4.19	35443.01	0.01	0.24	4.216	4.367	4.493	40751.86	42785.65	45538.04
2017-11-28	4.19	4.24	4.23	4.18	33942.53	0.05	1.2	4.246	4.407	4.515	43126.37	43348.56	46517.3
2017-11-27	4.23	4.23	4.18	4.17	30141.0	-0.03	-0.71	4.294	4.45	4.54	41304.56	45797.95	46933.49
2017-11-24	4.22	4.23	4.21	4.18	33993.88	-0.01	-0.24	4.358	4.495	4.567	43578.58	47275.67	49153.94
2017-11-23	4.37	4.37	4.22	4.22	70238.87	-0.17	-3.87	4.434	4.538	4.6	49867.62	48625.08	49464.09
2017-11-22	4.46	4.49	4.39	4.36	47315.56	-0.08	-1.79	4.518	4.581	4.634	44819.44	46087.5	48414.5
2017-11-21	4.47	4.52	4.47	4.46	24833.49	-0.03	-0.67	4.568	4.603	4.66	43570.75	45407.88	48043.48
2017-11-20	4.5	4.54	4.5	4.36	41511.11	-0.09	-1.96	4.606	4.619	4.68	50291.34	48412.14	49713.63
2017-11-17	4.63	4.63	4.59	4.46	65439.06	-0.05	-1.08	4.632	4.625	4.702	50972.75	47277.23	50091.39
2017-11-16	4.61	4.65	4.64	4.58	44997.96	0.0	0.0	4.642	4.621	4.718	47382.54	46312.63	49483.14
2017-11-15	4.64	4.65	4.64	4.57	41072.15	-0.02	-0.43	4.644	4.619	4.728	47355.56	48290.44	50707.37
2017-11-14	4.61	4.66	4.66	4.52	58436.42	0.03	0.65	4.638	4.623	4.741	47245.01	49686.03	52663.92
2017-11-13	4.64	4.66	4.63	4.6	44918.17	-0.01	-0.22	4.632	4.63	4.76	46532.93	48069.02	51738.51
2017-11-10	4.64	4.65	4.64	4.59	47488.0	-0.01	-0.21	4.618	4.639	4.78	43581.7	51032.2	55909.57
2017-11-09	4.61	4.66	4.65	4.59	44863.05	0.04	0.87	4.6	4.661	4.808	45242.71	50303.1	60633.13
2017-11-08	4.63	4.63	4.61	4.59	40519.4	-0.02	-0.43	4.594	4.687	4.83	49225.32	50741.51	62986.22
2017-11-07	4.56	4.65	4.63	4.52	54876.04	0.07	1.53	4.608	4.716	4.857	52127.05	50679.07	66238.96
2017-11-06	4.55	4.56	4.56	4.5	30162.03	0.01	0.22	4.628	4.741	4.881	49605.11	51015.13	68409.85
2017-11-03	4.62	4.63	4.55	4.52	55793.03	-0.07	-1.51	4.66	4.779	4.907	58482.7	52905.56	70391.91
2017-11-02	4.7	4.7	4.62	4.6	64776.1	-0.06	-1.28	4.722	4.814	4.932	55363.48	52653.65	70385.05
2017-11-01	4.73	4.73	4.68	4.67	55028.07	-0.05	-1.06	4.78	4.836	4.951	52257.7	53124.3	70374.05
2017-10-31	4.66	4.76	4.73	4.66	42266.32	0.01	0.21	4.824	4.859	4.972	49231.09	55641.81	70774.37
2017-10-30	4.87	4.88	4.72	4.7	74550.0	-0.14	-2.88	4.854	4.889	4.987	52425.15	55408.0	71654.38
2017-10-27	4.89	4.91	4.86	4.86	40196.92	-0.05	-1.02	4.898	4.921	5.004	47328.42	60786.94	72571.46
2017-10-26	4.9	4.91	4.91	4.87	49247.19	0.01	0.2	4.906	4.955	5.017	49943.81	70963.15	74818.37
2017-10-25	4.89	4.91	4.9	4.85	39895.0	0.02	0.41	4.892	4.972	5.029	53990.89	75230.93	79069.46
2017-10-24	4.94	4.94	4.88	4.84	58236.66	-0.06	-1.22	4.894	4.998	5.049	62052.54	81798.85	84732.16
2017-10-23	4.9	4.98	4.94	4.9	49066.31	0.04	0.82	4.924	5.02	5.072	58390.85	85804.56	95785.4
2017-10-20	4.84	4.9	4.9	4.83	53273.88	0.06	1.24	4.944	5.034	5.087	74245.47	87878.26	100337.8
2017-10-19	4.91	4.95	4.84	4.83	69482.61	-0.07	-1.43	5.004	5.049	5.104	91982.5	88116.46	106807.63
2017-10-18	5.03	5.06	4.91	4.91	80203.24	-0.12	-2.39	5.052	5.066	5.122	96470.97	87623.79	113849.17
2017-10-17	5.02	5.07	5.03	5.01	39928.23	-0.01	-0.2	5.102	5.084	5.139	101545.16	85906.93	124779.55
2017-10-16	5.15	5.16	5.04	5.03	128339.37	-0.16	-3.08	5.116	5.085	5.154	113218.27	87900.75	158574.66
2017-10-13	5.08	5.26	5.2	5.04	141959.05	0.12	2.36	5.124	5.086	5.178	101511.05	84355.99	189765.14
2017-10-12	5.16	5.19	5.08	5.06	91924.97	-0.08	-1.55	5.094	5.078	5.188	84250.42	78673.59	214942.32
2017-10-11	5.11	5.16	5.16	5.08	105574.18	0.06	1.18	5.08	5.086	5.179	78776.62	82907.99	215218.24
2017-10-10	5.08	5.12	5.1	5.04	98293.8	0.02	0.39	5.066	5.099	5.166	70268.69	87665.48	214096.29
2017-10-09	5.08	5.12	5.08	5.06	69803.23	0.03	0.59	5.054	5.123	5.154	62583.22	105766.24	212959.17
2017-09-29	5.01	5.08	5.05	5.01	55655.94	0.04	0.8	5.048	5.14	5.143	67200.92	112797.34	212378.27
2017-09-28	5.09	5.09	5.01	5.0	64555.93	-0.08	-1.57	5.062	5.158	5.134	73096.75	125498.8	211859.07
2017-09-27	5.03	5.1	5.09	5.03	63034.57	0.05	0.99	5.092	5.177	5.128	87039.36	140074.55	211227.28
2017-09-26	5.05	5.06	5.04	5.0	59866.43	-0.01	-0.2	5.132	5.193	5.118	105062.26	163652.18	212492.26
2017-09-25	5.09	5.09	5.05	5.03	92891.75	-0.07	-1.37	5.192	5.222	5.111	148949.26	229248.57	213004.98
2017-09-22	5.2	5.2	5.12	5.1	85135.07	-0.04	-0.78	5.232	5.27	5.102	158393.75	295174.3	212880.02
2017-09-21	5.29	5.29	5.16	5.16	134269.0	-0.13	-2.46	5.254	5.297	5.09	177900.86	351211.04	213046.42
2017-09-20	5.3	5.33	5.29	5.22	153149.05	-0.05	-0.94	5.262	5.271	5.075	193109.74	347528.5	214202.0
2017-09-19	5.25	5.47	5.34	5.21	279301.44	0.09	1.71	5.254	5.232	5.051	222242.1	340527.11	208403.02
2017-09-18	5.21	5.29	5.25	5.18	140114.2	0.02	0.38	5.252	5.185	5.026	309547.88	320152.1	196835.22
2017-09-15	5.18	5.3	5.23	5.18	182670.59	0.03	0.58	5.308	5.146	5.008	431954.85	311959.2	192732.46
2017-09-14	5.25	5.34	5.2	5.17	210313.41	-0.05	-0.95	5.34	5.11	4.99	524521.23	298219.33	186195.15
2017-09-13	5.23	5.38	5.25	5.23	298810.88	-0.08	-1.5	5.28	5.079	4.973	501947.25	282380.0	178625.35
2017-09-12	5.48	5.75	5.33	5.3	715830.31	-0.2	-3.62	5.21	5.043	4.951	458812.11	261332.34	165786.51
2017-09-11	5.45	5.7	5.53	5.35	752149.06	0.14	2.6	5.118	4.999	4.925	330756.32	196761.39	132002.96
2017-09-08	4.89	5.39	5.39	4.87	645502.5	0.49	10.0	4.984	4.934	4.889	191963.56	130585.73	96727.56
2017-09-07	4.9	4.94	4.9	4.88	97443.51	0.0	0.0	4.88	4.882	4.857	71917.44	74881.8	67238.59
2017-09-06	4.86	4.91	4.9	4.84	83135.19	0.03	0.62	4.878	4.879	4.854	62812.75	80875.5	64791.68
2017-09-05	4.86	4.88	4.87	4.85	75551.33	0.01	0.21	4.876	4.87	4.853	63852.56	76278.93	62297.8
2017-09-04	4.87	4.89	4.86	4.85	58185.25	-0.01	-0.2	4.88	4.866	4.853	62766.46	73518.34	60368.06
