date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20
2017-11-17	24.3	24.55	24.14	23.88	20765.22	0.0	0.0	24.376	24.576	25.07	18171.53	25151.74	30149.45
2017-11-16	24.01	24.45	24.14	24.01	14545.66	-0.16	-0.66	24.542	24.603	25.17	20331.63	25059.92	32927.74
2017-11-15	24.54	24.68	24.3	24.11	14914.71	-0.24	-0.98	24.636	24.633	25.201	21485.37	27131.95	34113.48
2017-11-14	24.74	24.87	24.54	24.35	20232.77	-0.22	-0.89	24.752	24.705	25.268	25799.53	28272.78	35096.4
2017-11-13	25.35	25.35	24.76	24.71	20399.29	-0.21	-0.84	24.908	24.789	25.361	31792.23	29441.01	34705.16
2017-11-10	24.8	25.11	24.97	24.61	31565.73	0.36	1.46	24.776	24.83	25.447	32131.95	30528.98	35210.2
2017-11-09	24.9	24.95	24.61	24.52	20314.35	-0.27	-1.08	24.664	24.957	25.534	29788.2	30123.86	35041.21
2017-11-08	25.27	25.28	24.88	24.73	36485.52	-0.44	-1.74	24.63	25.108	25.637	32778.53	31962.45	35391.05
2017-11-07	24.11	26.25	25.32	24.0	50196.27	1.22	5.06	24.658	25.232	25.729	30746.04	31504.68	36387.87
2017-11-06	24.43	24.5	24.1	23.7	22097.86	-0.31	-1.27	24.67	25.35	25.759	27089.78	32274.0	34617.48
2017-11-03	24.51	24.77	24.41	24.22	19847.01	-0.03	-0.12	24.884	25.564	25.849	28926.0	35147.17	34365.56
2017-11-02	24.99	25.25	24.44	24.43	35266.0	-0.58	-2.32	25.25	25.736	25.899	30459.51	40795.55	34486.69
2017-11-01	25.35	25.35	25.02	25.01	26323.04	-0.36	-1.42	25.586	25.768	25.925	31146.36	41095.01	34056.45
2017-10-31	25.1	25.89	25.38	24.91	31915.0	0.21	0.83	25.806	25.83	25.947	32263.32	41920.01	33339.73
2017-10-30	26.26	26.39	25.17	25.0	31278.97	-1.07	-4.08	26.03	25.932	25.952	37458.22	39969.31	32342.05
2017-10-27	26.22	26.48	26.24	26.1	27514.53	0.12	0.46	26.244	26.064	25.958	41368.33	39891.43	32006.85
2017-10-26	26.02	26.49	26.12	25.93	38700.27	0.0	0.0	26.222	26.111	25.949	51131.6	39958.57	31468.34
2017-10-25	26.39	26.47	26.12	25.88	31907.82	-0.38	-1.43	25.95	26.165	25.951	51043.66	38819.65	30487.12
2017-10-24	26.21	26.72	26.5	25.51	57889.5	0.26	0.99	25.854	26.226	25.969	51576.7	41271.06	30125.15
2017-10-23	26.4	26.63	26.24	25.98	50829.53	0.11	0.42	25.834	26.168	25.965	42480.41	36960.96	28683.45
2017-10-20	24.94	26.8	26.13	24.94	76330.88	1.37	5.53	25.884	26.134	25.992	38414.54	33583.96	27006.65
2017-10-19	25.45	25.79	24.76	24.74	38260.58	-0.88	-3.43	26.0	26.062	26.024	28785.54	28177.84	24360.3
2017-10-18	26.4	26.99	25.64	25.58	34573.01	-0.76	-2.88	26.38	26.082	26.14	26595.64	27017.88	23749.51
2017-10-17	26.29	26.56	26.4	26.2	12408.04	-0.09	-0.34	26.598	26.063	26.204	30965.42	24759.44	23341.44
2017-10-16	27.11	27.34	26.49	26.25	30500.17	-0.22	-0.82	26.502	25.971	26.245	31441.51	24714.78	25068.74
2017-10-13	26.61	26.98	26.71	26.4	28185.89	0.05	0.19	26.384	25.852	26.28	28753.39	24122.27	24794.14
2017-10-12	26.57	26.85	26.66	26.11	27311.1	-0.07	-0.26	26.124	25.787	26.304	27570.13	22978.1	25630.74
2017-10-11	25.93	27.5	26.73	25.67	56421.9	0.81	3.12	25.784	25.737	26.314	27440.12	22154.6	25803.2
2017-10-10	25.79	26.0	25.92	25.74	14788.5	0.02	0.08	25.528	25.711	26.331	18553.47	18979.24	25003.05
2017-10-09	25.42	25.98	25.9	25.42	17059.55	0.49	1.93	25.44	25.762	26.408	17988.05	20405.93	25787.58
2017-09-29	24.97	25.56	25.41	24.97	22269.61	0.45	1.8	25.32	25.85	26.485	19491.14	20429.33	26548.48
2017-09-28	25.45	25.5	24.96	24.95	26661.04	-0.49	-1.93	25.45	25.986	26.601	18386.08	20542.77	27621.47
2017-09-27	25.48	25.54	25.45	25.32	11988.64	-0.03	-0.12	25.69	26.198	26.745	16869.07	20481.15	28357.91
2017-09-26	25.3	25.59	25.48	25.3	11961.43	0.18	0.71	25.894	26.344	26.87	19405.0	21923.43	32489.26
2017-09-25	26.06	26.12	25.3	25.23	24575.0	-0.76	-2.92	26.084	26.518	26.964	22823.81	25422.69	36009.11
2017-09-22	26.17	26.29	26.06	26.01	16744.27	-0.1	-0.38	26.38	26.707	27.03	21367.52	25466.01	37540.18
2017-09-21	26.3	26.5	26.16	26.15	19076.02	-0.31	-1.17	26.522	26.82	27.049	22699.47	28283.38	40701.59
2017-09-20	26.44	26.67	26.47	26.2	24668.29	0.04	0.15	26.706	26.891	27.096	24093.22	29451.8	40987.64
2017-09-19	26.78	26.88	26.43	26.2	29055.46	-0.35	-1.31	26.794	26.951	27.137	24441.87	31026.87	41062.17
2017-09-18	26.73	26.94	26.78	26.7	17293.58	0.01	0.04	26.952	27.053	27.176	28021.57	31169.23	41305.55
2017-09-15	27.01	27.05	26.77	26.72	23404.0	-0.31	-1.15	27.034	27.12	27.205	29564.5	32667.63	42189.01
2017-09-14	26.99	27.5	27.08	26.83	26044.78	0.17	0.63	27.118	27.215	27.239	33867.28	34700.17	44936.83
2017-09-13	26.89	27.19	26.91	26.73	26411.51	-0.31	-1.14	27.076	27.292	27.223	34810.37	36234.68	45266.7
2017-09-12	27.29	27.86	27.22	27.18	46954.0	0.03	0.11	27.108	27.396	27.211	37611.86	43055.09	46086.72
2017-09-11	27.05	27.33	27.19	26.83	25008.21	0.0	0.0	27.154	27.409	27.204	34316.88	46595.53	46034.75
2017-09-08	26.83	27.87	27.19	26.73	44917.91	0.32	1.19	27.206	27.353	27.188	35770.76	49614.34	47481.95
2017-09-07	27.18	27.18	26.87	26.82	30760.21	-0.2	-0.74	27.312	27.278	27.158	35533.05	53119.8	50746.88
2017-09-06	27.45	27.45	27.07	26.8	40418.99	-0.38	-1.38	27.508	27.301	27.239	37658.99	52523.48	53805.17
2017-09-05	27.39	27.85	27.45	27.39	30479.1	0.0	0.0	27.684	27.322	27.332	48498.31	51097.48	55784.91
2017-09-04	27.45	27.71	27.45	27.11	32277.6	-0.27	-0.97	27.664	27.299	27.398	58874.17	51441.87	58116.41
2017-09-01	28.26	28.38	27.72	27.36	43729.36	-0.13	-0.47	27.5	27.29	27.483	63457.92	51710.4	60462.12
2017-08-31	27.64	27.98	27.85	27.64	41389.88	-0.1	-0.36	27.244	27.263	27.56	70706.55	55173.49	65218.18
2017-08-30	27.37	28.1	27.95	27.36	94615.61	0.6	2.19	27.094	27.153	27.662	67387.97	54298.72	72403.97
2017-08-29	26.66	27.45	27.35	26.65	82358.38	0.72	2.7	26.96	27.025	27.66	53696.64	49118.35	72777.58
2017-08-28	26.21	26.8	26.63	26.21	55196.37	0.19	0.72	26.934	26.998	27.685	44009.57	45473.97	73096.69
2017-08-25	26.83	26.88	26.44	26.0	79972.5	-0.66	-2.44	27.08	27.023	27.753	39962.87	45349.55	73437.14
2017-08-24	27.22	27.43	27.1	27.1	24797.0	-0.18	-0.66	27.282	27.037	27.838	39640.43	48373.96	72587.48
2017-08-23	27.27	27.49	27.28	27.15	26158.96	0.06	0.22	27.212	27.177	27.858	41209.46	55086.86	74708.08
2017-08-22	27.36	27.53	27.22	27.12	33923.01	-0.14	-0.51	27.09	27.341	27.872	44540.06	60472.35	75975.37
2017-08-21	27.15	27.62	27.36	27.1	34962.89	-0.09	-0.33	27.062	27.497	27.903	46938.37	64790.96	77478.84
2017-08-18	26.67	28.39	27.45	26.44	78360.3	0.7	2.62	26.966	27.675	27.945	50736.23	69213.84	79047.39
2017-08-17	26.62	26.95	26.75	26.62	32642.13	0.08	0.3	26.792	27.856	27.957	57107.49	75262.88	78449.38
2017-08-16	27.1	27.18	26.67	26.6	42811.95	-0.41	-1.51	27.142	28.171	28.037	68964.26	90509.23	80540.64
2017-08-15	26.84	27.39	27.08	26.66	45914.59	0.2	0.74	27.592	28.294	28.133	76404.64	96436.82	82341.31
2017-08-14	26.38	26.97	26.88	26.36	53952.18	0.3	1.13	27.932	28.372	28.185	82643.55	100719.41	82915.64
2017-08-11	28.16	28.16	26.58	26.5	110216.6	-1.92	-6.74	28.384	28.483	28.241	87691.45	101524.74	87294.27
2017-08-10	28.7	29.42	28.5	28.49	91925.96	-0.42	-1.45	28.92	28.639	28.417	93418.27	96801.0	87370.82
2017-08-09	28.78	29.23	28.92	28.33	80013.87	0.14	0.49	29.2	28.538	28.473	112054.21	94329.31	90247.69
2017-08-08	29.11	29.26	28.78	28.32	77109.15	-0.36	-1.24	28.996	28.403	28.515	116468.99	91478.39	94961.52
2017-08-07	29.1	29.77	29.14	29.0	79191.66	-0.12	-0.41	28.812	28.309	28.546	118795.27	90166.72	101491.99
2017-08-04	29.9	30.43	29.26	29.02	138850.69	-0.64	-2.14	28.582	28.214	28.465	115358.02	88880.95	101704.47
2017-08-03	27.91	29.98	29.9	27.91	185105.69	2.0	7.17	28.358	28.058	28.409	100183.73	81635.87	98461.13
2017-08-02	27.89	28.44	27.9	27.43	102087.77	0.04	0.14	27.876	27.902	28.344	76604.4	70572.05	94194.01
2017-08-01	27.46	28.4	27.86	27.0	88740.55	0.37	1.35	27.81	27.972	28.398	66487.79	68245.81	94204.68
2017-07-31	28.16	28.37	27.99	27.65	62005.41	-0.15	-0.53	27.806	27.998	28.427	61538.16	65111.86	96765.27
2017-07-28	27.4	28.15	28.14	27.15	62979.24	0.65	2.36	27.846	27.998	28.513	62403.87	73063.81	98366.09
2017-07-27	27.58	27.73	27.49	26.41	67209.02	-0.08	-0.29	27.758	28.194	28.593	63088.01	77940.65	99893.02
2017-07-26	27.86	28.16	27.57	27.27	51504.73	-0.27	-0.97	27.928	28.407	28.715	64539.69	86166.08	105096.06
2017-07-25	28.3	28.65	27.84	27.77	63992.39	-0.35	-1.24	28.134	28.626	28.886	70003.83	98444.65	109677.6
2017-07-24	27.68	28.31	28.19	27.51	66333.96	0.49	1.77	28.19	28.782	29.087	68685.57	112817.27	119318.97
2017-07-21	27.95	28.1	27.7	27.56	66399.96	-0.64	-2.26	28.15	28.716	29.281	83723.74	114527.99	124864.18
2017-07-20	28.22	28.99	28.34	28.22	74467.42	-0.26	-0.91	28.63	28.759	29.476	92793.28	115286.4	134110.73
2017-07-19	27.94	28.64	28.6	27.51	78825.42	0.48	1.71	28.886	28.785	29.641	107792.46	117815.97	143257.37
2017-07-18	27.5	28.33	28.12	27.45	57401.09	0.13	0.46	29.118	28.824	29.791	126885.48	120163.55	156117.83
2017-07-17	29.9	29.9	27.99	27.09	141524.83	-2.11	-7.01	29.374	28.856	30.005	156948.98	128418.68	165448.38
